data,tag,spe_tag,caption,label,pred
D:/Weather conditions driving classification data (All)/images/Rainy\frame1047.jpg,['rain | windshield | highway | vehicle | road | street | car | drive | wet'],weather,a view of a car's dashboard through a windshield wiper,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1048.jpg,['rain | traffic | highway | freeway | vehicle | road | car | drive | travel | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1049.jpg,['rain | traffic | highway | freeway | road | car | drive | travel | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame105.jpg,['car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1050.jpg,['rain | highway | freeway | vehicle | road | car | drive | travel | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1051.jpg,['rain | highway | road | car | drive | travel | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1052.jpg,['fog | rain | windshield | highway | vehicle | road | car | drive | travel'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1053.jpg,['rain | windshield | highway | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1054.jpg,['rain | highway | vehicle | road | car | drive | green'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1055.jpg,['fog | rain | highway | vehicle | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1056.jpg,['fog | rain | windshield | highway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1057.jpg,['fog | rain | highway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1058.jpg,['rain | windshield | traffic | highway | vehicle | road | car | drive'],weather,a view of a car's dashboard through a windshield wiper,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1059.jpg,['fog | rain | highway | vehicle | road | car | drive | white'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame106.jpg,['car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1060.jpg,['rain | highway | road | car | drive | white'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1061.jpg,['rain | highway | vehicle | road | car | drive | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1062.jpg,['rain | highway | mountain | road | car | drive | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1063.jpg,['rain | traffic | highway | mountain | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1064.jpg,['fog | rain | highway | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1065.jpg,['fog | rain | highway | freeway | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1066.jpg,['fog | rain | traffic | highway | freeway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1067.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1068.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1069.jpg,['rain | traffic | highway | vehicle | road | car | truck | drive'],weather,a view of a rainy day driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame107.jpg,['van | bus | car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1070.jpg,['rain | highway | mountain | road | car | snow | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1071.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1072.jpg,['fog | rain | windshield | highway | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1073.jpg,['fog | rain | windshield | highway | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1074.jpg,['rain | windshield | highway | road | car | drive | white'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1075.jpg,['fog | rain | highway | road | car | drive | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1076.jpg,['fog | rain | highway | vehicle | road | car | drive | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1077.jpg,['rain | highway | road | car | drive | green | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1078.jpg,['traffic light | fog | rain | highway | light | road | car | drive | green | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1079.jpg,['fog | rain | highway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame108.jpg,['night | van | vehicle | picture | car | tunnel | truck | drive'],weather,a view of the inside of a car tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1080.jpg,['rain | traffic | highway | freeway | vehicle | road | car | truck | drive'],weather,a rainy day driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1081.jpg,['fog | rain | highway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1082.jpg,['fog | rain | highway | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1083.jpg,['fog | rain | highway | bus | road | car | drive | travel'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1084.jpg,['fog | rain | highway | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1085.jpg,['fog | rain | highway | road | car | snow | drive'],weather,a view of a foggy driving on a snowy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1086.jpg,['view mirror | rain | windshield | highway | car window | vehicle | road | forest | picture | car | window | tree | drive'],weather,a view of a car windshield through a car windshield,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1087.jpg,['fog | rain | highway | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1088.jpg,['fog | rain | highway | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1089.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame109.jpg,['van | vehicle | bus | car | tunnel | truck | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1090.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1091.jpg,['rain | traffic | highway | vehicle | road | car | truck | drive'],weather,a view of a rainy day on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1092.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1093.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1094.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1095.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1096.jpg,['fog | rain | windshield | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1097.jpg,['fog | rain | highway | mountain | road | car'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1098.jpg,['fog | rain | highway | mountain | road | car'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1099.jpg,['fog | rain | highway | mountain | road | car'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame11.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame110.jpg,['car | tunnel | truck | drive | travel'],weather,a large semi truck driving through a tunnel tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1100.jpg,['fog | rain | highway | mountain | road | car'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1101.jpg,['fog | rain | highway | mountain | road | car'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1102.jpg,['rain | traffic | highway | vehicle | road | car | truck | drive'],weather,a view of a rainy day driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1103.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1104.jpg,['fog | rain | highway | mountain | road | car | drive | green'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1105.jpg,['rain | highway | van | mountain | road | car | drive | white'],weather,a view of a car's dashboard during a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1106.jpg,['rain | highway | van | vehicle | road | car | drive | white'],weather,a white minivan driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1107.jpg,['rain | highway | van | mountain | road | car | drive | white'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1108.jpg,['fog | rain | highway | van | mountain | road | car | drive | white'],weather,driving on a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1109.jpg,['rain | highway | van | mountain | road | car | drive | white'],weather,driving on a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame111.jpg,['car | tunnel | truck | drive | travel'],weather,a large semi truck driving through a tunnel tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1110.jpg,['fog | rain | highway | mountain | road | car | drive | white'],weather,driving on a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1111.jpg,['fog | rain | highway | mountain | road | car | drive | white'],weather,driving on a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1112.jpg,['fog | rain | highway | van | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1113.jpg,['night | traffic | highway | light | road | street | car | drive | dark'],weather,a night time view of driving in the dark,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1114.jpg,['rain | traffic | highway | vehicle | road | car | drive | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1115.jpg,['rain | traffic | highway | freeway | vehicle | road | car | truck | drive'],weather,a view of a two lane highway during a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1116.jpg,['fog | rain | highway | van | mountain | road | car | drive | white'],weather,driving on a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1117.jpg,['fog | rain | highway | van | vehicle | mountain | road | car | drive | white | wet'],weather,driving on a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1118.jpg,['fog | rain | highway | freeway | van | vehicle | road | car | drive | white'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1119.jpg,['fog | rain | highway | van | vehicle | mountain | road | car | truck | drive | white'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame112.jpg,['car | tunnel | truck | drive | travel'],weather,a large semi truck driving through a tunnel tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1120.jpg,['fog | rain | highway | van | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1121.jpg,['fog | rain | highway | van | mountain | road | car | truck | drive | travel | white'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1122.jpg,['fog | rain | highway | van | vehicle | mountain | road | car | truck | drive | travel | white'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1123.jpg,['fog | rain | highway | freeway | van | vehicle | mountain | road | car | truck | drive | travel'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1124.jpg,['fog | rain | highway | bus | mountain | road | car | truck | drive | travel'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1125.jpg,['fog | rain | highway | mountain | road | car | truck | drive | travel'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1126.jpg,['rain | traffic | highway | vehicle | road | car | truck | drive | travel'],weather,a view of a rainy day on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1127.jpg,['fog | rain | highway | freeway | mountain | road | car | truck | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1128.jpg,['fog | rain | highway | freeway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1129.jpg,['fog | rain | windshield | highway | freeway | road | car | snow | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame113.jpg,['vehicle | car | tunnel | truck | drive | travel'],weather,a large semi truck driving through a tunnel tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1130.jpg,['fog | rain | windshield | highway | freeway | mountain | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1131.jpg,['fog | rain | windshield | highway | freeway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1132.jpg,['fog | rain | windshield | highway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1133.jpg,['rain | windshield | highway | mountain | sign | road | car | drive | wet'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1134.jpg,['rain | windshield | highway | sign | road | car | drive | green | wet'],weather,a view of a foggy highway scene on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1135.jpg,['fog | rain | windshield | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1136.jpg,['fog | rain | windshield | highway | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1137.jpg,['rain | traffic | highway | vehicle | road | car | truck | drive'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1138.jpg,['fog | rain | windshield | highway | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1139.jpg,['fog | rain | windshield | highway | road | car | snow | drive'],weather,a view of a foggy driving on a snowy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame114.jpg,['rain | traffic | highway | road | car | drive | wet'],weather,a rainy day driving on a country road,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1140.jpg,['fog | rain | highway | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1141.jpg,['fog | rain | highway | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1142.jpg,['fog | rain | highway | van | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1143.jpg,['fog | rain | highway | van | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1144.jpg,['rain | highway | van | bus | road | car | drive'],weather,a passenger bus that is driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1145.jpg,['rain | highway | van | bus | road | car | drive'],weather,a passenger bus that is driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1146.jpg,['fog | rain | highway | van | bus | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1147.jpg,['fog | rain | highway | van | vehicle | bus | road | car | drive | wet | black'],weather,a passenger bus that is driving on a foggy day,Rainy,1
